image_path,cow_id,image_count_for_this_cow,split
BeefCattle_Muzzle_database/BeefCattle_Muzzle_Individualized/cattle_0100/cattle_0100_DSCF3860.jpg,cattle_0100,8,train
BeefCattle_Muzzle_database/BeefCattle_Muzzle_Individualized/cattle_0100/cattle_0100_DSCF3861.jpg,cattle_0100,8,train
BeefCattle_Muzzle_database/BeefCattle_Muzzle_Individualized/cattle_0100/cattle_0100_DSCF3865.jpg,cattle_0100,8,train
BeefCattle_Muzzle_database/BeefCattle_Muzzle_Individualized/cattle_0100/cattle_0100_DSCF3866.jpg,cattle_0100,8,train
BeefCattle_Muzzle_database/BeefCattle_Muzzle_Individualized/cattle_0100/cattle_0100_DSCF3859.jpg,cattle_0100,8,train
BeefCattle_Muzzle_database/BeefCattle_Muzzle_Individualized/cattle_0100/cattle_0100_DSCF3862.jpg,cattle_0100,8,val
BeefCattle_Muzzle_database/BeefCattle_Muzzle_Individualized/cattle_0100/cattle_0100_DSCF3856.jpg,cattle_0100,8,test
BeefCattle_Muzzle_database/BeefCattle_Muzzle_Individualized/cattle_0100/cattle_0100_DSCF3858.jpg,cattle_0100,8,test
BeefCattle_Muzzle_database/BeefCattle_Muzzle_Individualized/cattle_0200/cattle_0200_DSCF3876.jpg,cattle_0200,10,train
BeefCattle_Muzzle_database/BeefCattle_Muzzle_Individualized/cattle_0200/cattle_0200_DJI_0119.jpg,cattle_0200,10,train
BeefCattle_Muzzle_database/BeefCattle_Muzzle_Individualized/cattle_0200/cattle_0200_DSCF3871.jpg,cattle_0200,10,train
BeefCattle_Muzzle_database/BeefCattle_Muzzle_Individualized/cattle_0200/cattle_0200_DSCF3873.jpg,cattle_0200,10,train
BeefCattle_Muzzle_database/BeefCattle_Muzzle_Individualized/cattle_0200/cattle_0200_DJI_0115.jpg,cattle_0200,10,train
BeefCattle_Muzzle_database/BeefCattle_Muzzle_Individualized/cattle_0200/cattle_0200_DSCF3868.jpg,cattle_0200,10,train
BeefCattle_Muzzle_database/BeefCattle_Muzzle_Individualized/cattle_0200/cattle_0200_DSCF3870.jpg,cattle_0200,10,train
BeefCattle_Muzzle_database/BeefCattle_Muzzle_Individualized/cattle_0200/cattle_0200_DSCF3879.jpg,cattle_0200,10,val
BeefCattle_Muzzle_database/BeefCattle_Muzzle_Individualized/cattle_0200/cattle_0200_DSCF3877.jpg,cattle_0200,10,test
BeefCattle_Muzzle_database/BeefCattle_Muzzle_Individualized/cattle_0200/cattle_0200_DJI_0116.jpg,cattle_0200,10,test
BeefCattle_Muzzle_database/BeefCattle_Muzzle_Individualized/cattle_0300/cattle_0300_DSCF3884.jpg,cattle_0300,17,train
